participant_id,participant_type,retail_tariff_type,network_tariff_type,retailer,solar_path,load_path,solar_capacity
participant1,solar,flat_charge,LV TOU <100MWh,ENOVA,emily_solar_EN1.csv,EN_1f.csv,1
participant2,solar,flat_charge,LV TOU <100MWh,ENOVA,emily_solar_EN1.csv,EN_1f.csv,1
participant3,solar,flat_charge,LV TOU <100MWh,ENOVA,emily_solar_EN1.csv,EN_1f.csv,1
participant4,solar,flat_charge,LV TOU <100MWh,ENOVA,emily_solar_EN1.csv,EN_1f.csv,1
participant5,solar,flat_charge,LV TOU <100MWh,ENOVA,emily_solar_EN1.csv,EN_1f.csv,1
participant6,solar,flat_charge,LV TOU <100MWh,ENOVA,emily_solar_EN1.csv,EN_1f.csv,1
participant7,solar,flat_charge,LV TOU <100MWh,ENOVA,emily_solar_EN1.csv,EN_1f.csv,1
participant8,solar,flat_charge,LV TOU <100MWh,ENOVA,emily_solar_EN1.csv,EN_1f.csv,1
participant9,solar,flat_charge,LV TOU <100MWh,ENOVA,emily_solar_EN1.csv,EN_1f.csv,1
participant10,solar,flat_charge,LV TOU <100MWh,ENOVA,emily_solar_EN1.csv,EN_1f.csv,1
participant11,solar,flat_charge,LV TOU <100MWh,ENOVA,emily_solar_EN1.csv,EN_1f.csv,1
participant12,solar,flat_charge,LV TOU <100MWh,ENOVA,emily_solar_EN1.csv,EN_1f.csv,1
participant13,solar,flat_charge,LV TOU <100MWh,ENOVA,emily_solar_EN1.csv,EN_1f.csv,1
participant14,solar,flat_charge,LV TOU <100MWh,ENOVA,emily_solar_EN1.csv,EN_1f.csv,1
participant15,solar,flat_charge,LV TOU <100MWh,ENOVA,emily_solar_EN1.csv,EN_1f.csv,1
participant16,solar,flat_charge,LV TOU <100MWh,ENOVA,emily_solar_EN1.csv,EN_1f.csv,1
participant17,solar,flat_charge,LV TOU <100MWh,ENOVA,emily_solar_EN1.csv,EN_1f.csv,1
