,solar_fit_payments
2012-08-31 23:30:00,0.0
2012-09-01 00:00:00,0.0
2012-09-01 00:30:00,0.0
2012-09-01 01:00:00,0.0
2012-09-01 01:30:00,0.0
2012-09-01 02:00:00,0.0
2012-09-01 02:30:00,0.0
2012-09-01 03:00:00,0.0
2012-09-01 03:30:00,0.0
2012-09-01 04:00:00,0.0
2012-09-01 04:30:00,0.0
2012-09-01 05:00:00,0.0
2012-09-01 05:30:00,0.0
2012-09-01 06:00:00,0.0
2012-09-01 06:30:00,0.0
2012-09-01 07:00:00,0.0
2012-09-01 07:30:00,0.0
2012-09-01 08:00:00,0.0
2012-09-01 08:30:00,0.0
2012-09-01 09:00:00,0.0
2012-09-01 09:30:00,0.06911999879999954
2012-09-01 10:00:00,0.5909999999880005
2012-09-01 10:30:00,1.43819999999988
2012-09-01 11:00:00,0.0
2012-09-01 11:30:00,0.0
2012-09-01 12:00:00,0.0
2012-09-01 12:30:00,0.0
2012-09-01 13:00:00,0.0
2012-09-01 13:30:00,0.0
2012-09-01 14:00:00,0.0
2012-09-01 14:30:00,0.0
2012-09-01 15:00:00,0.6460799999999989
2012-09-01 15:30:00,0.5379600000000003
2012-09-01 16:00:00,0.0
2012-09-01 16:30:00,0.0
2012-09-01 17:00:00,0.0
2012-09-01 17:30:00,0.0
2012-09-01 18:00:00,0.0
2012-09-01 18:30:00,0.0
2012-09-01 19:00:00,0.0
2012-09-01 19:30:00,0.0
2012-09-01 20:00:00,0.0
2012-09-01 20:30:00,0.0
2012-09-01 21:00:00,0.0
2012-09-01 21:30:00,0.0
2012-09-01 22:00:00,0.0
2012-09-01 22:30:00,0.0
2012-09-01 23:00:00,0.0
2012-09-01 23:30:00,0.0
2012-09-02 00:00:00,0.0
2012-09-02 00:30:00,0.0
2012-09-02 01:00:00,0.0
2012-09-02 01:30:00,0.0
2012-09-02 02:00:00,0.0
2012-09-02 02:30:00,0.0
2012-09-02 03:00:00,0.0
2012-09-02 03:30:00,0.0
2012-09-02 04:00:00,0.0
2012-09-02 04:30:00,0.0
2012-09-02 05:00:00,0.0
2012-09-02 05:30:00,0.0
2012-09-02 06:00:00,0.0
2012-09-02 06:30:00,0.0
2012-09-02 07:00:00,0.0
2012-09-02 07:30:00,0.0
2012-09-02 08:00:00,0.0
2012-09-02 08:30:00,0.0
2012-09-02 09:00:00,0.0
2012-09-02 09:30:00,0.0
2012-09-02 10:00:00,0.37355999879999985
2012-09-02 10:30:00,0.8171999999879995
2012-09-02 11:00:00,0.0
2012-09-02 11:30:00,0.0
2012-09-02 12:00:00,0.0
2012-09-02 12:30:00,0.0
2012-09-02 13:00:00,0.0
2012-09-02 13:30:00,0.0
2012-09-02 14:00:00,0.0
2012-09-02 14:30:00,0.0
2012-09-02 15:00:00,1.3514399999998796
2012-09-02 15:30:00,1.3466399999999985
2012-09-02 16:00:00,0.6697199999999995
2012-09-02 16:30:00,0.0
2012-09-02 17:00:00,0.0
2012-09-02 17:30:00,0.0
2012-09-02 18:00:00,0.0
2012-09-02 18:30:00,0.0
2012-09-02 19:00:00,0.0
