,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 04:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 04:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 05:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 05:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 06:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 06:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 07:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 07:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 08:00:00,0,0,0,0.0244337542,0,0.0,0,0.3037503912,0,0,0
2017-02-26 08:30:00,0,0,0,0.6723987912,0,0.0,0,1.5140324544,0,0,0
2017-02-26 09:00:00,0,0,0,1.1726809428,0,0.0,0,2.5320665536,0,0,0
2017-02-26 09:30:00,0,0,0,3.26465608,0,0.722487632,0,3.38143823741,0,0,0
2017-02-26 10:00:00,0,0,0,0.0276321823103,0,0.0184214548735,0,0.0276321823103,0,0,0
2017-02-26 10:30:00,0,0,0,0.000276321823103,0,0.000184214548735,0,0.000276321823103,0,0,0
2017-02-26 11:00:00,0,0,0,2.76321823089e-06,0,1.84214548726e-06,0,2.76321823089e-06,0,0,0
2017-02-26 11:30:00,0,0,0,2.76321825421e-08,0,1.84214550281e-08,0,2.76321825421e-08,0,0,0
2017-02-26 12:00:00,0,0,0,2.76321632242e-10,0,1.84214421495e-10,0,2.76321632242e-10,0,0,0
2017-02-26 12:30:00,0,0,0,2.76312306369e-12,0,1.84208204246e-12,0,2.76312306369e-12,0,0,0
2017-02-26 13:00:00,0,0,0,2.73114864058e-14,0,1.82076576039e-14,0,2.73114864058e-14,0,0,0
2017-02-26 13:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 14:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 14:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 15:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 15:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 16:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 16:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 17:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 17:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 18:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 18:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 19:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 19:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 20:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 20:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 21:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 21:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 22:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 22:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 23:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 23:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 00:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 00:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 01:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 01:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 02:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 02:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 03:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 03:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 04:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 04:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 05:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 05:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 06:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 06:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 07:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 07:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 08:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 08:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 09:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
