,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 06:00:00,0.000560990533333,0.000560990533333,0.000560990533333,0.0,0.000560990533333,0.000560990533333,0.000560990533333,0.000560990533333,0.0,0.000560990533333,0.000560990533333
2017-02-26 06:30:00,0.0372,0.0084,0.0453666110846,0.0,0.0453666110846,0.0,0.00888,0.0,0.0,0.00912,0.01776
2017-02-26 07:00:00,0.03792,0.00312,0.169303502952,0.0,0.169303502952,0.0,0.0,0.0,0.0,0.00984,0.02856
2017-02-26 07:30:00,0.0396,0.01128,0.263752202092,0.0,0.1704,0.0,0.0,0.0,0.0,0.0084,0.02352
2017-02-26 08:00:00,0.0396,0.00696,0.366967365816,0.0,0.17064,0.0,0.0,0.0,0.0,0.04488,0.02448
2017-02-26 08:30:00,0.0408,0.00456,0.430583806592,0.0,0.1704,0.0,0.0,0.0,0.0,0.01032,0.01752
2017-02-26 09:00:00,0.0396,0.01152,0.546228950848,0.0,0.16992,0.0,0.0,0.0,0.0,0.00864,0.02112
2017-02-26 09:30:00,0.0384,0.00528,0.59557789408,0.0,0.13104,0.0,0.0,0.0,0.0,0.00864,0.01896
2017-02-26 10:00:00,0.03792,0.00696,0.645684527292,0.0,0.28848,0.0,0.0,0.0,0.0,0.00936,0.01944
2017-02-26 10:30:00,0.0396,0.012,0.742605230504,0.0,0.2424,0.0,0.0,0.0,0.0,0.00984,0.02616
2017-02-26 11:00:00,0.0408,0.01536,0.7972526541,0.0,0.23976,0.0,0.0,0.0,0.0,0.0084,0.02544
2017-02-26 11:30:00,0.04032,0.01728,0.772893938412,0.0,0.2388,0.0,0.0,0.0,0.0,0.00912,0.02784
2017-02-26 12:00:00,0.04152,0.01584,0.758156580884,0.0,0.23376,0.0,0.0,0.0,0.0,0.01032,0.018
2017-02-26 12:30:00,0.03912,0.00312,0.700263066408,0.0,0.23376,0.0,0.0,0.0,0.0,0.0084,0.0216
2017-02-26 13:00:00,0.1032,0.01488,0.653244525984,0.0,0.23736,0.0,0.0,0.0,0.0,0.00912,0.0168
2017-02-26 13:30:00,0.03912,0.0048,0.658372442152,0.0,0.24168,0.0,0.0,0.0,0.0,0.01032,0.02208
2017-02-26 14:00:00,0.04152,0.01056,0.581580942676,0.0,0.252,0.0,0.0,0.0,0.0,0.00864,0.0204
2017-02-26 14:30:00,0.042,0.00912,0.489411041988,0.0,0.23472,0.0,0.0,0.0,0.0,0.00912,0.03
2017-02-26 15:00:00,0.04152,0.00624,0.389683344704,0.0,0.23592,0.0,0.0,0.0,0.0,0.01032,0.02472
2017-02-26 15:30:00,0.0396,0.0132,0.350021648024,0.0,0.23616,0.0,0.0,0.0,0.0,0.00864,0.02592
2017-02-26 16:00:00,0.03912,0.00336,0.338975540612,0.0,0.23688,0.0,0.0,0.0,0.0,0.00912,0.01848
2017-02-26 16:30:00,0.03912,0.0132,0.294892678828,0.0,0.24096,0.0,0.0,0.0,0.0,0.01032,0.01992
2017-02-26 17:00:00,0.04032,0.00648,0.203611659176,0.0,0.203611659176,0.0,0.0,0.0,0.0,0.00864,0.01968
2017-02-26 17:30:00,0.042,0.0084,0.0869373928114,0.0,0.0869373928114,0.0,0.00336,0.0,0.0,0.00912,0.01872
2017-02-26 18:00:00,0.0111170014971,0.0111170014971,0.0111170014971,0.0,0.0111170014971,0.0,0.00768,0.0,0.0,0.01032,0.0111170014971
2017-02-26 18:30:00,9.3353472e-05,9.3353472e-05,9.3353472e-05,9.3353472e-05,9.3353472e-05,9.3353472e-05,9.3353472e-05,9.3353472e-05,0.0,9.3353472e-05,9.3353472e-05
2017-02-26 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
