,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 06:00:00,0.000233746055556,0.000233746055556,0.000233746055556,0.0,0.000233746055556,0.000233746055556,0.000233746055556,0.000233746055556,0.0,0.000233746055556,0.000233746055556
2017-02-26 06:30:00,0.0155,0.0035,0.0189027546186,0.0,0.0189027546186,0.0,0.0037,0.0,0.0,0.0038,0.0074
2017-02-26 07:00:00,0.0158,0.0013,0.07054312623,0.0,0.07054312623,0.0,0.0,0.0,0.0,0.0041,0.0119
2017-02-26 07:30:00,0.0165,0.0047,0.109896750872,0.0,0.071,0.0,0.0,0.0,0.0,0.0035,0.0098
2017-02-26 08:00:00,0.0165,0.0029,0.15290306909,0.0,0.0711,0.0,0.0,0.0,0.0,0.0187,0.0102
2017-02-26 08:30:00,0.017,0.0019,0.179409919413,0.0,0.071,0.0,0.0,0.0,0.0,0.0043,0.0073
2017-02-26 09:00:00,0.0165,0.0048,0.227595396187,0.0,0.0708,0.0,0.0,0.0,0.0,0.0036,0.0088
2017-02-26 09:30:00,0.016,0.0022,0.248157455867,0.0,0.0546,0.0,0.0,0.0,0.0,0.0036,0.0079
2017-02-26 10:00:00,0.0158,0.0029,0.269035219705,0.0,0.1202,0.0,0.0,0.0,0.0,0.0039,0.0081
2017-02-26 10:30:00,0.0165,0.005,0.309418846043,0.0,0.101,0.0,0.0,0.0,0.0,0.0041,0.0109
2017-02-26 11:00:00,0.017,0.0064,0.332188605875,0.0,0.0999,0.0,0.0,0.0,0.0,0.0035,0.0106
2017-02-26 11:30:00,0.0168,0.0072,0.322039141005,0.0,0.0995,0.0,0.0,0.0,0.0,0.0038,0.0116
2017-02-26 12:00:00,0.0173,0.0066,0.315898575368,0.0,0.0974,0.0,0.0,0.0,0.0,0.0043,0.0075
2017-02-26 12:30:00,0.0163,0.0013,0.29177627767,0.0,0.0974,0.0,0.0,0.0,0.0,0.0035,0.009
2017-02-26 13:00:00,0.043,0.0062,0.27218521916,0.0,0.0989,0.0,0.0,0.0,0.0,0.0038,0.007
2017-02-26 13:30:00,0.0163,0.002,0.274321850897,0.0,0.1007,0.0,0.0,0.0,0.0,0.0043,0.0092
2017-02-26 14:00:00,0.0173,0.0044,0.242325392782,0.0,0.105,0.0,0.0,0.0,0.0,0.0036,0.0085
2017-02-26 14:30:00,0.0175,0.0038,0.203921267495,0.0,0.0978,0.0,0.0,0.0,0.0,0.0038,0.0125
2017-02-26 15:00:00,0.0173,0.0026,0.162368060293,0.0,0.0983,0.0,0.0,0.0,0.0,0.0043,0.0103
2017-02-26 15:30:00,0.0165,0.0055,0.145842353343,0.0,0.0984,0.0,0.0,0.0,0.0,0.0036,0.0108
2017-02-26 16:00:00,0.0163,0.0014,0.141239808588,0.0,0.0987,0.0,0.0,0.0,0.0,0.0038,0.0077
2017-02-26 16:30:00,0.0163,0.0055,0.122871949512,0.0,0.1004,0.0,0.0,0.0,0.0,0.0043,0.0083
2017-02-26 17:00:00,0.0168,0.0027,0.0848381913233,0.0,0.0848381913233,0.0,0.0,0.0,0.0,0.0036,0.0082
2017-02-26 17:30:00,0.0175,0.0035,0.0362239136714,0.0,0.0362239136714,0.0,0.0014,0.0,0.0,0.0038,0.0078
2017-02-26 18:00:00,0.00463208395714,0.00463208395714,0.00463208395714,0.0,0.00463208395714,0.0,0.0032,0.0,0.0,0.0043,0.00463208395714
2017-02-26 18:30:00,3.889728e-05,3.889728e-05,3.889728e-05,3.889728e-05,3.889728e-05,3.889728e-05,3.889728e-05,3.889728e-05,0.0,3.889728e-05,3.889728e-05
2017-02-26 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 06:00:00,2.661225e-05,2.661225e-05,2.661225e-05,2.661225e-05,2.661225e-05,2.661225e-05,2.661225e-05,2.661225e-05,0.0,2.661225e-05,2.661225e-05
2017-02-27 06:30:00,0.0031646618625,0.0031646618625,0.0031646618625,0.0,0.0031646618625,0.0031646618625,0.0031646618625,0.0,0.0,0.0031646618625,0.0031646618625
2017-02-27 07:00:00,0.00358079723125,0.0012,0.00358079723125,0.0,0.00358079723125,0.00358079723125,0.003,0.0,0.0,0.00358079723125,0.00358079723125
2017-02-27 07:30:00,0.0100700996625,0.0036,0.0100700996625,0.0,0.0100700996625,0.0100700996625,0.0100700996625,0.0,0.0,0.0038,0.0075
2017-02-27 08:00:00,0.03934914638,0.0042,0.03934914638,0.0,0.03934914638,0.0,0.0392,0.0,0.0,0.0035,0.0085
2017-02-27 08:30:00,0.036465077385,0.001,0.036465077385,0.0,0.036465077385,0.0,0.036465077385,0.0,0.036465077385,0.036465077385,0.0282
