,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 04:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 04:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 05:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 05:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 06:00:00,0,0,0,0.01137813,0,0.0,0,0.0,0.009659015,0,0
2017-02-26 06:30:00,0,0,0,0.527599066,0,0.0831410068,0,0.6418836275,0.070569123,0,0
2017-02-26 07:00:00,0,0,0,1.563555076,0,0.7339775048,0,1.744721715,0.190333278,0,0
2017-02-26 07:30:00,0,0,0,2.543781646,0,0.9474910908,0,2.7973652025,0.305167113,0,0
2017-02-26 08:00:00,0,0,0,3.3503879538,0,1.7465908184,0,3.3503879538,0.398633274,0,0
2017-02-26 08:30:00,0,0,0,2.7662461856,0,2.0755681408,0,2.7662461856,0.466939488,0,0
2017-02-26 09:00:00,0,0,0,2.8471046064,0,2.6849721152,0,2.8471046064,0.585818672,0,0
2017-02-26 09:30:00,0,0,0,2.19123496,0,2.19123496,0,2.19123496,0.64129512,0,0
2017-02-26 10:00:00,0,0,0,2.74317419567,0,2.74317419567,0,2.74317419567,0.691477413,0,0
2017-02-26 10:30:00,0,0,0,2.65334926467,0,2.65334926467,0,2.65334926467,0.794952206,0,0
2017-02-26 11:00:00,0,0,0,3.28105774167,0,3.28105774167,0,3.28105774167,0.850826775,0,0
2017-02-26 11:30:00,0,0,0,3.28797080233,0,3.28797080233,0,3.28797080233,0.825087593,0,0
2017-02-26 12:00:00,0,0,0,3.540381283,0,3.540381283,0,3.540381283,0.829856151,0,0
2017-02-26 12:30:00,0,0,0,3.21073291267,0,3.21073291267,0,3.21073291267,0.782801262,0,0
2017-02-26 13:00:00,0,0,0,2.91032894133,0,2.91032894133,0,2.91032894133,0.738013176,0,0
2017-02-26 13:30:00,0,0,0,2.539515974,0,2.539515974,0,2.539515974,0.738452078,0,0
2017-02-26 14:00:00,0,0,0,2.58295385367,0,2.58295385367,0,2.58295385367,0.659138439,0,0
2017-02-26 14:30:00,0,0,0,2.6046064959,0,2.3309465012,0,2.6046064959,0.573840507,0,0
2017-02-26 15:00:00,0,0,0,3.086619552,0,1.9858911296,0,3.3161870624,0.459302256,0,0
2017-02-26 15:30:00,0,0,0,2.679897212,0,1.8500337976,0,3.1749270044,0.415141986,0,0
2017-02-26 16:00:00,0,0,0,2.625936906,0,1.7404102388,0,3.7039717275,0.404069643,0,0
2017-02-26 16:30:00,0,0,0,2.629464814,0,1.3906338172,0,3.0190493225,0.333169017,0,0
2017-02-26 17:00:00,0,0,0,1.951716388,0,0.8587154824,0,2.048430795,0.231428814,0,0
2017-02-26 17:30:00,0,0,0,1.03723314,0,0.375071172,0,0.992611975,0.13075767,0,0
2017-02-26 18:00:00,0,0,0,0.26791154,0,0.004303492,0,0.010617975,0.04141287,0,0
2017-02-26 18:30:00,0,0,0,0.0,0,0.0,0,0.0,0.003889728,0,0
2017-02-26 19:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 19:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 20:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 20:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 21:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 21:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 22:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 22:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
