,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9
2017-02-26 04:00:00,-0.158,-0.016,-7.392,-0.095,-0.681,-0.205,-0.132,-0.255,0.0
2017-02-26 04:30:00,-0.168,-0.035,-6.96,-0.061,-0.713,-0.31,-0.153,-0.159,0.0
2017-02-26 05:00:00,-0.168,-0.043,-6.292,-0.091,-0.684,-0.218,-0.137,-0.537,0.0
2017-02-26 05:30:00,-0.17,-0.011,-7.18,-0.065,-0.683,-0.273,-0.159,-0.304,0.0
2017-02-26 06:00:00,-0.3619399,-0.01457596,-5.75157596,-0.0099399,-0.67557596,-0.17157596,-0.0539399,-1.32257596,0.02742404
2017-02-26 06:30:00,0.31546082,0.153184328,-6.431815672,0.38646082,-0.519815672,-0.076815672,0.43346082,0.183184328,0.188184328
2017-02-26 07:00:00,1.11088852,0.494555408,-5.544444592,1.18288852,-0.199444592,0.302555408,1.26888852,0.507555408,0.507555408
2017-02-26 07:30:00,1.86944742,0.766778968,-4.846221032,1.93344742,0.103778968,0.255778968,2.03444742,0.813778968,0.813778968
2017-02-26 08:00:00,2.49255516,1.034022064,-6.588977936,2.57755516,0.352022064,0.843022064,2.65755516,1.063022064,1.063022064
2017-02-26 08:30:00,2.94292992,1.226171968,-5.814828032,3.00792992,0.535171968,1.017171968,3.11292992,1.245171968,1.245171968
2017-02-26 09:00:00,3.74712448,1.516849792,-6.355150208,3.83212448,0.856849792,1.354849792,3.91212448,1.564849792,1.563849792
2017-02-26 09:30:00,4.1153008,1.68812032,-4.66187968,4.1733008,1.16412032,1.46012032,4.2753008,1.71012032,1.71012032
2017-02-26 10:00:00,4.45184942,1.814939768,-5.568060232,4.52984942,0.641939768,1.631939768,4.60984942,1.843939768,1.843939768
2017-02-26 10:30:00,5.14134804,2.072539216,-5.257460784,5.22834804,1.112539216,1.882539216,5.30634804,2.089539216,2.121539216
2017-02-26 11:00:00,5.5021785,2.2048714,-7.0511286,5.5921785,1.2698714,2.0588714,5.6721785,2.2688714,2.2688714
2017-02-26 11:30:00,5.33925062,2.130900248,-7.097099752,5.44225062,1.207900248,1.957900248,5.50725062,2.202900248,2.201900248
2017-02-26 12:00:00,5.35937434,2.146949736,-7.907050264,5.00137434,1.238949736,1.974949736,5.53237434,2.212949736,2.212949736
2017-02-26 12:30:00,5.05567508,2.074470032,-7.052529968,4.31867508,1.113470032,1.889470032,5.21867508,2.087470032,2.087470032
2017-02-26 13:00:00,4.49008784,1.906035136,-5.911964864,3.98108784,0.979035136,1.698035136,4.92008784,1.968035136,1.968035136
2017-02-26 13:30:00,4.76668052,1.951872208,-5.060127792,4.03568052,0.964872208,1.751872208,4.92968052,1.971872208,1.970872208
2017-02-26 14:00:00,4.22125626,1.713702504,-5.262297496,3.49125626,0.707702504,1.534702504,4.39425626,1.757702504,1.757702504
2017-02-26 14:30:00,3.65060338,1.492241352,-5.229758648,2.92260338,0.552241352,1.030241352,3.82560338,1.530241352,1.530241352
2017-02-26 15:00:00,2.88901504,1.198806016,-6.295193984,2.16801504,0.241806016,0.944806016,3.06201504,1.224806016,1.224806016
