,net_participant_export,central_battery_export,unallocated_local_solar,unallocated_central_battery_load,gross_participant_grid_import,gross_participant_local_solar_import,gross_participant_central_battery_import,net_network_export
2017-02-26 04:00:00,-9.07,0.0,0,0.0,9.07,0,0,-9.07
2017-02-26 04:30:00,-8.742,0.0,0,0.0,8.742,0,0,-8.742
2017-02-26 05:00:00,-8.5,0.0,0,0.0,8.5,0,0,-8.5
2017-02-26 05:30:00,-9.053,0.0,0,0.0,9.053,0,0,-9.053
2017-02-26 06:00:00,-8.835,0.0,0,0.0,8.835,0,0,-8.835
2017-02-26 06:30:00,-8.021,0.0,0,0.0,8.021,0,0,-8.021
2017-02-26 07:00:00,-7.381,0.0,0,0.0,7.381,0,0,-7.381
2017-02-26 07:30:00,-7.374,0.0,0,0.0,7.374,0,0,-7.374
2017-02-26 08:00:00,-9.146,0.0,0,0.0,9.146,0,0,-9.146
2017-02-26 08:30:00,-8.408,0.0,0,0.0,8.408,0,0,-8.408
2017-02-26 09:00:00,-9.256,0.0,0,0.0,9.256,0,0,-9.256
2017-02-26 09:30:00,-7.567,0.0,0,0.0,7.567,0,0,-7.567
2017-02-26 10:00:00,-9.213,0.0,0,0.0,9.213,0,0,-9.213
2017-02-26 10:30:00,-9.107,0.0,0,0.0,9.107,0,0,-9.107
2017-02-26 11:00:00,-10.984,0.0,0,0.0,10.984,0,0,-10.984
2017-02-26 11:30:00,-11.0,0.0,0,0.0,11.0,0,0,-11.0
2017-02-26 12:00:00,-12.22,0.0,0,0.0,12.22,0,0,-12.22
2017-02-26 12:30:00,-11.513,0.0,0,0.0,11.513,0,0,-11.513
2017-02-26 13:00:00,-10.678,0.0,0,0.0,10.678,0,0,-10.678
2017-02-26 13:30:00,-9.472,0.0,0,0.0,9.472,0,0,-9.472
2017-02-26 14:00:00,-9.534,0.0,0,0.0,9.534,0,0,-9.534
2017-02-26 14:30:00,-9.517,0.0,0,0.0,9.517,0,0,-9.517
2017-02-26 15:00:00,-10.022,0.0,0,0.0,10.022,0,0,-10.022
2017-02-26 15:30:00,-9.236,0.0,0,0.0,9.236,0,0,-9.236
2017-02-26 16:00:00,-9.74,0.0,0,0.0,9.74,0,0,-9.74
2017-02-26 16:30:00,-9.134,0.0,0,0.0,9.134,0,0,-9.134
2017-02-26 17:00:00,-9.351,0.0,0,0.0,9.351,0,0,-9.351
2017-02-26 17:30:00,-9.845,0.0,0,0.0,9.845,0,0,-9.845
