,net_participant_export,central_battery_export,unallocated_local_solar,unallocated_central_battery_load,gross_participant_grid_import,gross_participant_local_solar_import,gross_participant_central_battery_import,net_network_export
2017-02-26 04:00:00,-9.07,0.0,0.0,0.0,9.07,0.0,0.0,-9.07
2017-02-26 04:30:00,-8.742,0.0,0.0,0.0,8.742,0.0,0.0,-8.742
2017-02-26 05:00:00,-8.5,0.0,0.0,0.0,8.5,0.0,0.0,-8.5
2017-02-26 05:30:00,-9.053,0.0,0.0,0.0,9.053,0.0,0.0,-9.053
2017-02-26 06:00:00,-8.5816707435,0.0,0.0,0.0,8.5816707435,0.021037145,0.0,-8.5816707435
2017-02-26 06:30:00,-6.3438071767,0.0,0.606137730929,0.0,6.3438071767,0.717055092371,0.0,-6.3438071767
2017-02-26 07:00:00,-2.8574124262,0.0,2.4907250492,0.0,2.8574124262,1.7418625246,0.0,-2.8574124262
2017-02-26 07:30:00,-0.1211949477,0.0,4.43983754358,0.0,0.1211949477,2.15396750872,0.0,-0.1211949477
2017-02-26 08:00:00,0.3281841454,-0.3281841454,6.4511534545,3.88578058619e-16,0.0,2.7230306909,0.0,0.0
2017-02-26 08:30:00,2.6895951648,-2.6895951648,7.95549597067,0.5031639192,0.0,2.80909919413,0.0,0.0
2017-02-26 09:00:00,4.6907237712,-4.6907237712,10.3347698093,0.9859762748,0.0,3.32095396187,0.0,0.0
2017-02-26 09:30:00,7.674447352,-7.674447352,11.5648727933,0.0,0.0,3.32457455867,0.0,0.0
2017-02-26 10:00:00,7.2211131823,-4.77087907093,11.9427609853,0.0,0.0,4.19935219705,0.0,2.45023411137
2017-02-26 10:30:00,9.8101307626,-0.0477087907093,14.0959423022,0.0,0.0,4.46918846043,0.0,9.76242197189
2017-02-26 11:00:00,9.2373163525,-0.000477087907093,15.2354302938,0.0,0.0,4.69588605875,0.0,9.23683926459
2017-02-26 11:30:00,8.6333484603,-4.77087906958e-06,14.7129570503,0.0,0.0,4.60939141005,0.0,8.63334368942
2017-02-26 12:00:00,7.5029145221,-4.7708791584e-08,14.4639287684,0.0,0.0,4.48998575368,0.0,7.50291447439
2017-02-26 12:30:00,7.0915766602,-4.77086814499e-10,13.3138138835,0.0,0.0,4.1927627767,0.0,7.09157665972
2017-02-26 13:00:00,6.8621131496,-4.77129447063e-12,12.020260958,0.0,0.0,4.3108521916,0.0,6.8621131496
2017-02-26 13:30:00,8.1023110538,-4.61852778244e-14,12.3910925448,0.0,0.0,4.06821850897,0.0,8.1023110538
2017-02-26 14:00:00,6.1315235669,0.0,10.7282696391,0.0,0.0,3.81125392782,0.0,6.1315235669
2017-02-26 14:30:00,4.1212760497,0.0,8.84206337475,0.0,0.0,3.39321267495,0.0,4.1212760497
2017-02-26 15:00:00,0.8940836176,0.0,6.79040301467,0.0,0.0,2.95168060293,0.0,0.8940836176
2017-02-26 15:30:00,0.6305412006,0.0,5.94411766717,0.0,0.0,2.80642353343,0.0,0.6305412006
2017-02-26 16:00:00,-0.1366114847,0.1366114847,5.78299042942,0.0,0.1366114847,2.69139808588,0.0227685807833,0.0
2017-02-26 16:30:00,-1.2156830293,1.2156830293,4.79559747558,0.0,1.2156830293,2.57671949512,0.202613838217,0.0
2017-02-26 17:00:00,-3.8507085206,3.8507085206,3.08052765293,0.0,3.8507085206,2.00976382647,0.7614028402,0.0
2017-02-26 17:30:00,-6.737326043,6.737326043,1.47119568357,0.0,6.737326043,1.06447827343,1.55323601229,0.0
2017-02-26 18:00:00,-8.280754123,8.0596709224,0.0176416791429,0.0,8.280754123,0.306604197857,2.24809820206,-0.2210832006
2017-02-26 18:30:00,-9.9665541312,0.0,0.0,0.0,9.9665541312,0.003889728,0.0,-9.9665541312
2017-02-26 19:00:00,-8.57,0.0,0.0,0.0,8.57,0.0,0.0,-8.57
2017-02-26 19:30:00,-8.753,0.0,0.0,0.0,8.753,0.0,0.0,-8.753
2017-02-26 20:00:00,-10.285,0.0,0.0,0.0,10.285,0.0,0.0,-10.285
2017-02-26 20:30:00,-9.816,0.0,0.0,0.0,9.816,0.0,0.0,-9.816
2017-02-26 21:00:00,-7.757,0.0,0.0,0.0,7.757,0.0,0.0,-7.757
2017-02-26 21:30:00,-9.014,0.0,0.0,0.0,9.014,0.0,0.0,-9.014
2017-02-26 22:00:00,-8.223,0.0,0.0,0.0,8.223,0.0,0.0,-8.223
2017-02-26 22:30:00,-7.925,0.0,0.0,0.0,7.925,0.0,0.0,-7.925
2017-02-26 23:00:00,-9.277,0.0,0.0,0.0,9.277,0.0,0.0,-9.277
2017-02-26 23:30:00,-9.645,0.0,0.0,0.0,9.645,0.0,0.0,-9.645
2017-02-27 00:00:00,-9.205,0.0,0.0,0.0,9.205,0.0,0.0,-9.205
2017-02-27 00:30:00,-9.088,0.0,0.0,0.0,9.088,0.0,0.0,-9.088
2017-02-27 01:00:00,-9.761,0.0,0.0,0.0,9.761,0.0,0.0,-9.761
2017-02-27 01:30:00,-8.133,0.0,0.0,0.0,8.133,0.0,0.0,-8.133
2017-02-27 02:00:00,-7.271,0.0,0.0,0.0,7.271,0.0,0.0,-7.271
2017-02-27 02:30:00,-8.422,0.0,0.0,0.0,8.422,0.0,0.0,-8.422
2017-02-27 03:00:00,-7.911,0.0,0.0,0.0,7.911,0.0,0.0,-7.911
2017-02-27 03:30:00,-7.311,0.0,0.0,0.0,7.311,0.0,0.0,-7.311
2017-02-27 04:00:00,-8.086,0.0,0.0,0.0,8.086,0.0,0.0,-8.086
2017-02-27 04:30:00,-7.11,0.0,0.0,0.0,7.11,0.0,0.0,-7.11
2017-02-27 05:00:00,-9.964,0.0,0.0,0.0,9.964,0.0,0.0,-9.964
2017-02-27 05:30:00,-12.373,0.0,0.0,0.0,12.373,0.0,0.0,-12.373
2017-02-27 06:00:00,-11.1797515525,0.0,0.0,0.0,11.1797515525,0.002661225,0.0,-11.1797515525
2017-02-27 06:30:00,-12.6119286502,0.0,0.0,0.0,12.6119286502,0.253172949,0.0,-12.6119286502
2017-02-27 07:00:00,-15.5690519043,0.0,0.029615944625,0.0,15.5690519043,0.256847833875,0.0,-15.5690519043
2017-02-27 07:30:00,-23.1347318854,0.0,0.153102989875,0.0,23.1347318854,0.652504983125,0.0,-23.1347318854
2017-02-27 08:00:00,-23.4555597534,0.0,1.0199658552,0.0,23.4555597534,1.7344743914,0.0,-23.4555597534
2017-02-27 08:30:00,-24.9823835812,0.0,0.4373015477,0.0,24.9823835812,2.4799046431,0.0,-24.9823835812
2017-02-27 09:00:00,-19.2499853265,0.0,1.04871634712,0.0,19.2499853265,4.10614904137,0.0,-19.2499853265
2017-02-27 09:30:00,-23.6151191543,0.0,2.00714278935,0.0,23.6151191543,4.91514278935,0.0,-23.6151191543
2017-02-27 10:00:00,-23.2606674126,0.0,1.8502981467,0.0,23.2606674126,4.7882981467,0.0,-23.2606674126
2017-02-27 10:30:00,-19.6193824688,0.0,3.607247559,0.0,19.6193824688,5.7884057002,0.0,-19.6193824688
2017-02-27 11:00:00,-14.1179976982,0.0,3.59268258303,0.0,14.1179976982,6.66539676077,0.0,-14.1179976982
2017-02-27 11:30:00,-20.7571450556,0.0,4.58842107675,0.0,20.7571450556,6.47673590365,0.0,-20.7571450556
2017-02-27 12:00:00,-23.4922893458,0.0,2.03255968463,0.0,23.4922893458,5.37850956758,0.0,-23.4922893458
2017-02-27 12:30:00,-21.4915413939,0.0,0.874791103775,0.0,21.4915413939,4.02437331132,0.0,-21.4915413939
2017-02-27 13:00:00,-22.2144007656,0.0,0.8447753426,0.0,22.2144007656,3.6103260278,0.0,-22.2144007656
2017-02-27 13:30:00,-20.403706775,0.0,0.87417961875,0.0,20.403706775,3.93853885625,0.0,-20.403706775
2017-02-27 14:00:00,-18.8773362745,0.0,0.993597120187,0.0,18.8773362745,4.25599520031,0.0,-18.8773362745
2017-02-27 14:30:00,-18.7791443975,0.0,0.557291747812,0.0,18.7791443975,3.32081957969,0.0,-18.7791443975
2017-02-27 15:00:00,-15.3511400262,0.0,2.49120569931,0.0,15.3511400262,2.86765427449,0.0,-15.3511400262
2017-02-27 15:30:00,-10.3504835011,0.0,4.15400942794,0.0,10.3504835011,3.38850707096,0.0,-10.3504835011
2017-02-27 16:00:00,-9.0844554974,0.0,3.02569633507,0.0,9.0844554974,2.14284816753,0.0,-9.0844554974
2017-02-27 16:30:00,-9.8026681892,0.0,2.97780843629,0.0,9.8026681892,1.65452337451,0.0,-9.8026681892
2017-02-27 17:00:00,-10.7982118894,0.0,1.728420079,0.0,10.7982118894,1.1253680316,0.0,-10.7982118894
2017-02-27 17:30:00,-13.2889980083,0.0,0.0546030341375,0.0,13.2889980083,0.461671723562,0.0,-13.2889980083
2017-02-27 18:00:00,-12.3462652707,0.0,0.0,0.0,12.3462652707,0.043957983,0.0,-12.3462652707
2017-02-27 18:30:00,-10.641136459,0.0,0.0,0.0,10.641136459,0.00580071,0.0,-10.641136459
2017-02-27 19:00:00,-10.143,0.0,0.0,0.0,10.143,0.0,0.0,-10.143
2017-02-27 19:30:00,-10.655,0.0,0.0,0.0,10.655,0.0,0.0,-10.655
2017-02-27 20:00:00,-10.562,0.0,0.0,0.0,10.562,0.0,0.0,-10.562
2017-02-27 20:30:00,-10.844,0.0,0.0,0.0,10.844,0.0,0.0,-10.844
2017-02-27 21:00:00,-10.165,0.0,0.0,0.0,10.165,0.0,0.0,-10.165
2017-02-27 21:30:00,-10.151,0.0,0.0,0.0,10.151,0.0,0.0,-10.151
