,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9
2017-02-26 04:00:00,0.028124,0.002848,1.315776,0.01691,0.121218,0.03649,0.023496,0.04539,0.0
2017-02-26 04:30:00,0.029904,0.00623,1.23888,0.010858,0.126914,0.05518,0.027234,0.028302,0.0
2017-02-26 05:00:00,0.029904,0.007654,1.119976,0.016198,0.121752,0.038804,0.024386,0.095586,0.0
2017-02-26 05:30:00,0.03026,0.001958,1.27804,0.01157,0.121574,0.048594,0.028302,0.054112,0.0
2017-02-26 06:00:00,0.06381511731,0.00198433599,1.02317033599,0.00115911731,0.11964233599,0.02993033599,0.00899111731,0.23480833599,0.0
2017-02-26 06:30:00,0.0,0.0,1.04637368661,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 07:00:00,0.0,0.0,0.508546177288,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 16:30:00,0.0,0.0,0.289242469532,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 17:00:00,0.0,0.0,0.674937079944,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 17:30:00,0.0,0.0,1.07233642532,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 18:00:00,0.0,0.0,1.23893058226,0.0,0.11806458226,0.0,0.0,0.01446858226,0.0
2017-02-26 18:30:00,0.032533398912,0.000236885248,1.31156288525,0.010461398912,0.163106885248,0.042956885248,0.021497398912,0.157588885248,0.0
2017-02-26 19:00:00,0.047704,0.010324,1.15344,0.009612,0.139374,0.041474,0.028302,0.066038,0.0
2017-02-26 19:30:00,0.047704,0.004272,1.2638,0.012104,0.0979,0.041474,0.025454,0.042898,0.0
2017-02-26 20:00:00,0.09612,0.006052,1.48808,0.012104,0.098434,0.03649,0.028124,0.042542,0.0
2017-02-26 20:30:00,0.048594,0.008366,1.38128,0.009078,0.159488,0.049484,0.024386,0.046458,0.0
2017-02-26 21:00:00,0.048594,0.002314,1.098616,0.013528,0.09523,0.03204,0.028302,0.039872,0.0
2017-02-26 21:30:00,0.04895,0.0089,1.12852,0.00801,0.09968,0.101104,0.042542,0.145782,0.0
2017-02-26 22:00:00,0.04895,0.00534,1.155576,0.012816,0.100926,0.037736,0.033108,0.044144,0.0003113
2017-02-26 22:30:00,0.046814,0.004094,1.09292,0.010502,0.100926,0.052866,0.032574,0.04094,0.0
2017-02-26 23:00:00,0.046814,0.009434,1.344256,0.010146,0.10146,0.041474,0.02403,0.051086,0.0
2017-02-26 23:30:00,0.04717,0.002848,1.433256,0.012994,0.100214,0.04005,0.027234,0.030794,0.0
2017-02-27 00:00:00,0.049484,0.00623,1.34924,0.008366,0.09612,0.048594,0.02937,0.029726,0.0
2017-02-27 00:30:00,0.04806,0.00801,1.340696,0.013528,0.094696,0.036134,0.02759,0.028124,0.0
2017-02-27 01:00:00,0.048594,0.001958,1.461736,0.0089,0.094518,0.04628,0.024564,0.029726,0.0
